Size	   Bubble Sort	Selection Sort	Insertion Sort
50	48594.44	15059.97	35249.375
100	39800.93	14159.64	40886.684
150	73844.26	27494.92	38211.387
200	94803.3	35969.125	21680.92
250	144302.19	54331.55	32122.225
300	201623.94	74275.83	45365.27
350	270475.16	98889.42	60438.07
400	345635.4	126145.78	76146.83
450	435613.7	158075.98	96044.74
500	529160.06	192257.86	116209.1
550	633829.9	229751.31	139019.4
600	750170.8	270970.38	163611.2
650	874265.25	315684.7	191787.12
700	1009440.6	363304.88	219869.36
750	1152773.9	415255.53	251139.12
800	1308348.5	470423.2	284673.28
850	1473575.9	528756.0	321243.97
900	1643033.2	589948.56	358337.97
950	1825784.6	655903.4	398221.0
1000	2017727.5	723717.4	438990.88
